id,tx_id,uid,f_min_hz,f_max_hz,x_min_m,x_max_m,t,win_length_s,dataset,label,label_name,saved_timestamp,username,source_file
1,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,24267.435057057126,29404.56494294287,0.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.219,ers334,20211102_215231.h5
2,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,27327.435057057126,32464.56494294287,2.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.220,ers334,20211102_215231.h5
3,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,30455.435057057126,35592.564942942874,4.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.223,ers334,20211102_215231.h5
4,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,33511.435057057126,38648.564942942874,6.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.224,ers334,20211102_215231.h5
5,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,36503.435057057126,41640.564942942874,8.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.226,ers334,20211102_215231.h5
6,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,39803.435057057126,44940.564942942874,10.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.227,ers334,20211102_215231.h5
7,1,fc5d7381-9942-4a8a-8043-ca18289245d4,16.539015121405434,30.47431399485154,42079.435057057126,47216.564942942874,12.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:33:48.229,ers334,20211102_215231.h5
8,2,fc5d7381-9942-4a8a-8043-ca18289245d4,12.818600271070629,29.54344522213102,5212.718077130296,13827.281922869704,0.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:37:10.907,ers334,20211102_215231.h5
9,2,fc5d7381-9942-4a8a-8043-ca18289245d4,12.818600271070629,29.54344522213102,15992.718077130296,24607.281922869704,2.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:37:10.908,ers334,20211102_215231.h5
10,2,fc5d7381-9942-4a8a-8043-ca18289245d4,12.818600271070629,29.54344522213102,19668.718077130296,28283.281922869704,4.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:37:10.909,ers334,20211102_215231.h5
11,2,fc5d7381-9942-4a8a-8043-ca18289245d4,12.818600271070629,29.54344522213102,23020.718077130296,31635.281922869704,6.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:37:10.910,ers334,20211102_215231.h5
12,2,fc5d7381-9942-4a8a-8043-ca18289245d4,12.818600271070629,29.54344522213102,26116.718077130296,34731.281922869704,8.0,2.0,ooi_optasense_north_c2_full,1,Bp_B,2025-12-18 00:37:10.911,ers334,20211102_215231.h5
